name,price,image_url,units,category
Butter - Pasteurized,510,https://www.bigbasket.com/media/uploads/p/l/1202759_3-amul-butter-pasteurized.jpg,2x500 g,"Bakery, Cakes & Dairy"
Butter - Pasteurised,156,https://www.bigbasket.com/media/uploads/p/l/1205137_3-amul-butter-pasteurized-carton.jpg,3x100 g,"Bakery, Cakes & Dairy"
Pasteurised Butter,52,https://www.bigbasket.com/media/uploads/p/l/104860_8-amul-butter-pasteurised.jpg,100 g,"Bakery, Cakes & Dairy"
Butter - Pasteurized,208,https://www.bigbasket.com/media/uploads/p/l/1204991_3-amul-butter-pasteurized.jpg,4x100 g,"Bakery, Cakes & Dairy"
"Farm Fresh Curd/Dahi - Premium, No Preservatives",46,https://www.bigbasket.com/media/uploads/p/l/40003162_4-milky-mist-curd-farm-fresh.jpg,500 g,"Bakery, Cakes & Dairy"
"Farm Fresh Curd/Dahi - Premium, No Preservatives",92,https://www.bigbasket.com/media/uploads/p/l/1200180_4-milky-mist-curd-farm-fresh.jpg,2x500 g,"Bakery, Cakes & Dairy"
"Black Soft Drink - Max Taste, Zero Sugar(Diet)",35,https://www.bigbasket.com/media/uploads/p/l/40104245_6-pepsi-black-soft-drink-max-taste-zero-caldiet.jpg,250 ml,Beverages
Diaper Pants - XXL,399,https://www.bigbasket.com/media/uploads/p/l/40111395_7-pampers-diaper-pants-xxl.jpg,16 pcs,Baby Care
"All-Round Protection Diaper Pants - XXL, 15-25 kg, Ultra Absorb Core, Leakage Prevention for upto 12 Hours",1199,https://www.bigbasket.com/media/uploads/p/l/40185708_4-pampers-diaper-pants-xxl.jpg,42 pcs,Baby Care
Ridge Gourd,45.45,https://www.bigbasket.com/media/uploads/p/l/10000176_15-fresho-ridge-gourd.jpg,500 g,Fruits & Vegetables
Ridge Gourd,90.91,https://www.bigbasket.com/media/uploads/p/l/10000175_15-fresho-ridge-gourd.jpg,1 kg,Fruits & Vegetables
Coccinia (Loose),87.66,https://www.bigbasket.com/media/uploads/p/l/10000089_19-fresho-coccinia.jpg,1 kg,Fruits & Vegetables
Coccinia (Loose),21.92,https://www.bigbasket.com/media/uploads/p/l/10000090_17-fresho-coccinia.jpg,250 g,Fruits & Vegetables
Coccinia (Loose),43.83,https://www.bigbasket.com/media/uploads/p/l/10000091_18-fresho-coccinia.jpg,500 g,Fruits & Vegetables
"Oats Breakfast Cereal - Rich In Protein, Dietary Fibre, Nutritious, Easy To Cook",199,https://www.bigbasket.com/media/uploads/p/l/208345_20-quaker-oats-breakfast-cereal-rich-in-protein-dietary-fibre-nutritious-easy-to-cook.jpg,1 Kg,Snacks & Branded Foods
"Oats Breakfast Cereal - Rich In Protein, Dietary Fibre, Nutritious, Easy To Cook",79,https://www.bigbasket.com/media/uploads/p/l/266122_16-quaker-oats-breakfast-cereal-rich-in-protein-dietary-fibre-nutritious-easy-to-cook.jpg,400 g,Snacks & Branded Foods
"Oats - Multigrain, Breakfast Cereal, Rich In Fibre & Calcium, Good For Heart",175,https://www.bigbasket.com/media/uploads/p/l/40007739_18-quaker-oats-multigrain-breakfast-cereal-rich-source-of-energy-nutritious-easy-to-cook.jpg,600 g,Snacks & Branded Foods
"Oats Breakfast Cereal - Rich In Protein, Dietary Fibre, Nutritious, Easy To Cook",292,https://www.bigbasket.com/media/uploads/p/l/284405_16-quaker-oats-breakfast-cereal-rich-in-protein-dietary-fibre-nutritious-easy-to-cook.jpg,1.5 Kg,Snacks & Branded Foods
"Rolled Oats - Rich In Protein, Nutritious, Easy To Cook",338,https://www.bigbasket.com/media/uploads/p/l/40091105_13-quaker-rolled-oats-rich-in-protein-nutritious-easy-to-cook.jpg,2 Kg,Snacks & Branded Foods
Palak 250g+Ladies Finger 500g+Cucumber 1kg+Capsicum Green 500g+Bottle Gourd 1pc,228.26,https://www.bigbasket.com/media/uploads/p/l/1209674_1-fresho-palak-250gladies-finger-500gcucumber-1kgcapsicum-green-500gbottle-gourd-1pc.jpg,Combo,Fruits & Vegetables
Radish - White (Loose),37.66,https://www.bigbasket.com/media/uploads/p/l/10000164_14-fresho-radish-white.jpg,1 kg,Fruits & Vegetables
Radish - White (Loose),18.83,https://www.bigbasket.com/media/uploads/p/l/10000166_16-fresho-radish-white.jpg,500 g,Fruits & Vegetables
Premium Care Diapers - Large,2299,https://www.bigbasket.com/media/uploads/p/l/40136610_7-pampers-premium-care-diapers-large.jpg,88 pcs,Baby Care
Premium Care Diapers - Large,320,https://www.bigbasket.com/media/uploads/p/l/40040331_13-pampers-premium-care-diapers-large.jpg,13 pcs,Baby Care
"Premium Care Diaper Pants - Large, 9-14 kg, Air Channels, Lotion with Aloe Vera",799,https://www.bigbasket.com/media/uploads/p/l/40141636_3-pampers-premium-care-diapers-large.jpg,30 pcs,Baby Care
"Premium Care Diaper Pants - Large, 9-14 kg, Lotion with Aloe Vera",3597,https://www.bigbasket.com/media/uploads/p/l/40180906_8-pampers-premium-care-diapers-large.jpg,132 pcs,Baby Care
